Public,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
Name,Cash (1m),Cash (3m),UK Government Bonds,UK Inflation Linked Gilts,Sterling Corporate Bonds,Sterling High Yield,US Government Bonds,EU Government Bonds,Global Government Bonds,Global Inflation Linked Bonds,Global High Yield USD,US Corporate Investment Grade Bonds,Global Corporate Investment Grade Bonds,Emerging Market USD Bonds,Emerging Market Local Bonds,EU Corporate Bonds,EU High Yield Bonds,Global High Yield Bonds,UK Equity,Asia Pacific Equity,Asia Pacific x Japan Equities,China Equities,Europe Equities,Global Equities,Emerging Market Equities,India Equities,Japan Equities,Latin America Equities,North America Equities,UK REITs,Global Aggregate Bonds,Global Aggregate Corporate Bonds,Global High Yield Bonds,US Government Bonds,UK Government Bonds,MSCI Europe ex UK,MSCI AC Asia ex JP,MSCI Japan,MSCI United Kingdom,MSCI EM (Emerging Markets),United Kingdom Small Cap Equities,S&P500,NASDAQ100,Commodity Index,Mixed Investment 0-35% Shares,Mixed Investment 20-60% Shares,Mixed Investment 40-85% Shares,UK House Prices,UK Inflation Index
Ticker,MLL4BP,MLLBP3,MLGAL0,MLG0LI,MLUR00,MLHL00,MLG0QJ,MLEZAS,MLW0G1,MLW0GI,MLHWUS,LHMN2765,MLG0BC,LHMN0497,LHMN0017,LHMN2002,LHMN2500,LHMN0039,FC0000GB,FR0000R2,FR0000A1,FC0000CN,FR0000R3,FR0000R1,FR0000R5,FC0000IN,FC0000JP,FR0000L1,FR0000R4,FI4890GB,LHMN0038,LHMN3435,LHMN0039,MLG0QJ,MLGAL0,991700,899800,939200,982600,891800,106228,SP50,12490H10,BBGCICMP,TWPMI35,TWPMI60,TWPMI85,UKHP,UKCPI
Description,ICE BofA SONIA 1-Month Average Index,ICE BofA SONIA 3-Month Constant Maturity Index,ICE BofA UK Gilts All Stocks,ICE BofA UK Inflation-Linked Gilt,ICE BofA Sterling Corporate,ICE BofA Sterling High Yield,ICE BofA US Government (All Maturity),ICE BofA All Euro Government,ICE BofA Global Government,ICE BofA Global Inflation-Linked Government,ICE BofA US Dollar Global High Yield,Bloomberg US Corporate Investment Grade,ICE BofA Global Corporate,Bloomberg Emerging Markets USD Sovereign,Bloomberg Emerging Markets Local Issue,Bloomberg Euro Aggregate Credit - Corporate,Bloomberg Pan-European High Yield,Bloomberg Global High Yield,United Kingdom,Asia Pacific,Asia Pacific x Japan,China,Europe,World,Emerging,India,Japan,Latin America,North America,United Kingdom / Real Estate Investment Trusts,Bloomberg Global Aggregate,Bloomberg Global Aggregate - Corporate,Bloomberg Global High Yield,ICE BofA US Government (All Maturity),ICE BofA UK Gilts All Stocks,MSCI Europe ex UK,MSCI AC Asia ex JP,MSCI Japan,MSCI United Kingdom,MSCI EM (Emerging Markets),MSCI United Kingdom Small Cap,S&P 500,NASDAQ-100 Index,Bloomberg Commodity Index,Mixed Investment 0-35% Shares,Mixed Investment 20-60% Shares,Mixed Investment 40-85% Shares,"Average House Prices, GBP - United Kingdom",CPI Index - United Kingdom
Data Type,"RETURNS(SPEC_ID[MLL4BP:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLLBP3:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLGAL0:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLG0LI:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLUR00:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLHL00:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLG0QJ:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLEZAS:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLW0G1:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLW0GI:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLHWUS:ML_TOT_RET,DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[LHMN2765:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLG0BC:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[LHMN0497:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[LHMN0017:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[LHMN2002:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[LHMN2500:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[LHMN0039:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FC0000GB:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FR0000R2:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FR0000A1:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FC0000CN:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FR0000R3:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FR0000R1:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FR0000R5:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FC0000IN:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FC0000JP:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FR0000L1:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FR0000R4:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[FI4890GB:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[LHMN0038:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[LHMN3435:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[LHMN0039:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLG0QJ:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[MLGAL0:ML_TOT_RET('FIVEDAY','LOC','NO_TYPE','TC'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[991700:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[899800:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[939200:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[982600:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[891800:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[106228:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[SP50:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[12490H10:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)","RETURNS(SPEC_ID[BBGCICMP:FG_TOTAL_RET_IDX(,,'UNHEDGED'),DIST=NONE,CONV=NONE], -1AM)",N/A,N/A,N/A,"RETURNS(FDS_ECON[GBHC0244886,DIST=STEP,CONV=AVERAGE], -1AM)","RETURNS(FDS_ECON[GB.CPIALL,DIST=STEP,CONV=AVERAGENP], -1AM)"
Index Start,19970131,19950228,19980731,19970131,19970131,19980130,19970131,19860131,19860131,19980130,19990129,19730228,19970131,19930129,19930129,19980630,19981231,19900131,20010228,20010228,20010228,20010228,20010228,20010228,20010228,20010228,20010228,20010228,20010228,20010228,19900131,20000929,19900131,19970131,19980731,19700130,19880129,19700130,19700130,19880129,19940630,19880229,19990430,19910228,20010228,20010228,20010228,19680531,19600229
Index End,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250930,20250829,20250930
Index Format,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate,Growth Rate
Source,ICE BofA Fixed Income,ICE BofA Fixed Income,ICE BofA Fixed Income,ICE BofA Fixed Income,ICE BofA Fixed Income,ICE BofA Fixed Income,ICE BofA Fixed Income,ICE BofA Fixed Income,ICE BofA Fixed Income,ICE BofA Fixed Income,ICE BofA Fixed Income,Bloomberg,ICE,Bloomberg,Bloomberg,Bloomberg,Bloomberg,Bloomberg,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,FactSet Market Indices,Bloomberg,Bloomberg,Bloomberg,ICE BofA Fixed Income,ICE BofA Fixed Income,MSCI Global,MSCI Global,MSCI Global,MSCI Global,MSCI Global,MSCI Global,S&P US,Nasdaq,Bloomberg Commodity Indices,TWP,TWP,TWP,Land Registry UK,ONS - Office for National Statistics UK
28/02/2001,0.004430967,0.004725284,0.002280109,-0.00978911,-0.000477429,0.016217405,0.009977509,0.00482201,0.008216818,0.005258059,0.013720132,0.00844902,0.007944382,-0.01280169,-0.002132352,0.004863815,0.005642241,0.003229799,-0.0541199,-0.0521353,-0.04687,-0.04784035,-0.0829782,-0.0869169,-0.066497255,-0.0368598,-0.055657,-0.093241,-0.0992243,-0.0593956,0.001644073,0.002775921,0.003229799,0.009977509,0.002280109,-0.084570099,-0.046813699,-0.036660838,-0.053968039,-0.067774878,-0.022239185,-0.091181691,-0.264016459,-0.004215465,-0.029352268,-0.051492511,-0.073632754,0,0.002701473
30/03/2001,0.004600589,0.004810867,0.000507357,-0.026066733,0.008286318,-0.01410657,0.003826035,0.00764801,0.005317719,-0.005277188,-0.019317588,0.006139909,0.006990514,-0.009461607,-0.018813397,0.009064505,-0.042956076,-0.022686244,-0.057317413,-0.041744882,-0.06450438,0.119510263,-0.074142621,-0.066425323,-0.024923765,-0.207555037,-0.026378339,-0.07386439,-0.069221006,-0.006637966,-0.020478848,-0.014604813,-0.022686244,0.003826035,0.000507357,-0.050978929,-0.09822059,0.037531799,-0.031310489,-0.077710442,-0.073366719,-0.063350635,-0.175541549,-0.04260561,-0.028519481,-0.048046733,-0.059533352,0,0.00338149
