date,stocks,bonds,40_85,20_60,0_35
30/01/1976,0.088665331,0.0195,0.078290531,0.060999199,0.043707866
29/02/1976,-0.005974713,0.007552722,-0.003945598,-0.000563739,0.00281812
31/03/1976,0.017491597,0.011974299,0.016664002,0.015284678,0.013905353
30/04/1976,-0.003730808,0.005579607,-0.002334246,-6.64E-06,0.002320962
31/05/1976,-0.010953041,-0.009088303,-0.010673331,-0.010207146,-0.009740961
30/06/1976,0.028713054,0.014191932,0.026534886,0.022904605,0.019274324
31/07/1976,-0.009261411,0.01170871,-0.006115893,-0.000873363,0.004369168
31/08/1976,-0.003647112,0.017877306,-0.00041845,0.004962655,0.01034376
30/09/1976,0.009329242,0.013773339,0.009995856,0.01110688,0.012217905
31/10/1976,-0.030462124,0.010759554,-0.024278872,-0.013973453,-0.003668033
30/11/1976,0.001130657,0.02417681,0.00458758,0.010349118,0.016110656
31/12/1976,0.068909539,0.018233072,0.061308069,0.048638952,0.035969835
31/01/1977,-0.03129278,-0.019204154,-0.029479486,-0.02645733,-0.023435174
28/02/1977,-0.005423764,0.003792559,-0.004041316,-0.001737235,0.000566846
31/03/1977,-0.008412856,0.007468583,-0.00603064,-0.002060281,0.001910079
30/04/1977,0.010643204,0.009070294,0.010407268,0.01001404,0.009620813
31/05/1977,-0.01224761,0.006914436,-0.009373303,-0.004582792,0.00020772
30/06/1977,0.032781965,0.014163087,0.029989133,0.025334414,0.020679694
31/07/1977,-0.012865591,-0.000592465,-0.011024622,-0.007956341,-0.004888059
31/08/1977,0.007175376,0.009569776,0.007534536,0.008133136,0.008731736
30/09/1977,0.010523719,0,0.008945161,0.006314231,0.003683302
31/10/1977,-0.030233241,-0.005284785,-0.026490973,-0.020253859,-0.014016744
30/11/1977,0.00976598,0.008939108,0.009641949,0.009435231,0.009228513
31/12/1977,0.004861917,-0.004429946,0.003468138,0.001145172,-0.001177794
31/01/1978,-0.029855283,-0.002350774,-0.025729606,-0.018853479,-0.011977352
28/02/1978,-0.012157865,0.003871085,-0.009753522,-0.005746285,-0.001739048
31/03/1978,0.037341401,0.003185507,0.032218017,0.023679043,0.01514007
30/04/1978,0.05170455,0.001420574,0.044161954,0.03159096,0.019019966
31/05/1978,0.013271663,-0.004506016,0.010605011,0.006160592,0.001716172
30/06/1978,-0.007092608,-0.000251457,-0.006066435,-0.004356147,-0.00264586
31/07/1978,0.051677327,0.011402689,0.045636131,0.035567472,0.025498812
31/08/1978,0.020417086,0.015833555,0.019729557,0.018583674,0.017437791
30/09/1978,0.006577399,-0.000408039,0.005529583,0.003783224,0.002036864
31/10/1978,-0.051967552,-0.014123598,-0.046290959,-0.03682997,-0.027368982
30/11/1978,0.012487996,0.00977145,0.012080514,0.011401377,0.010722241
31/12/1978,0.01790817,-0.009594883,0.013782712,0.006906949,3.12E-05
31/01/1979,0.039343399,0.018713258,0.036248878,0.031091343,0.025933808
28/02/1979,-0.018833628,-0.004226615,-0.016642576,-0.012990823,-0.009339069
31/03/1979,0.047850071,0.010284877,0.042215292,0.032823993,0.023432695
30/04/1979,0.011922139,-0.001615907,0.009891432,0.006506921,0.003122409
31/05/1979,-0.015880204,0.018693853,-0.010694096,-0.002050581,0.006592933
30/06/1979,0.018420037,0.021766775,0.018922047,0.019758732,0.020595417
31/07/1979,0.001921146,0.000466486,0.001702947,0.001339282,0.000975617
31/08/1979,0.044427691,-0.0025645,0.037378862,0.025630814,0.013882766
30/09/1979,0.020525172,-0.010440204,0.015880365,0.008139022,0.000397678
31/10/1979,-0.050648123,-0.06078261,-0.052168296,-0.054701918,-0.057235539
30/11/1979,0.027266173,0.029172601,0.027552137,0.028028744,0.028505351
31/12/1979,0.018618205,0.002687952,0.016228667,0.012246104,0.008263541
31/01/1980,0.060254967,-0.030463038,0.046647266,0.023967765,0.001288264
29/02/1980,0.011401207,-0.059153753,0.000817963,-0.016820777,-0.034459517
31/03/1980,-0.086967336,0.000801497,-0.073802011,-0.051859803,-0.029917594
30/04/1980,0.040750481,0.113365374,0.051642715,0.069796438,0.087950161
31/05/1980,0.033223489,0.047154728,0.035313174,0.038795984,0.042278794
30/06/1980,0.039394732,0.018852093,0.036313336,0.031177676,0.026042017
31/07/1980,0.042738395,-0.020675722,0.033226277,0.017372748,0.001519219
31/08/1980,0.012451152,-0.035798977,0.005213632,-0.0068489,-0.018911432
30/09/1980,0.02676329,-0.010472033,0.021177992,0.011869161,0.00256033
31/10/1980,0.035034034,-0.011464766,0.028059214,0.016434514,0.004809814
30/11/1980,0.05341166,-0.001865365,0.045120107,0.03130085,0.017481594
31/12/1980,-0.029466709,0.027301541,-0.020951471,-0.006759409,0.007432653
31/01/1981,-0.016059774,0.000474567,-0.013579623,-0.009446038,-0.005312453
28/02/1981,0.018103967,-0.018973829,0.012542298,0.003272849,-0.0059966
31/03/1981,0.035008417,0.023773074,0.033323116,0.03051428,0.027705444
30/04/1981,0.017619072,-0.035658066,0.009627502,-0.003691783,-0.017011067
31/05/1981,-0.002519271,0.035915432,0.003245935,0.01285461,0.022463286
30/06/1981,0.00967942,-0.002285076,0.007884746,0.004893622,0.001902498
31/07/1981,0.004692896,-0.019270262,0.001098422,-0.004892367,-0.010883156
31/08/1981,-0.02674843,-0.021098412,-0.025900927,-0.024488423,-0.023075918
30/09/1981,-0.073776312,-0.000658111,-0.062808582,-0.044529032,-0.026249481
31/10/1981,0.027118123,0.058528158,0.031829628,0.039682137,0.047534646
30/11/1981,0.047853201,0.085232126,0.05346004,0.062804771,0.072149502
31/12/1981,-0.00950348,-0.037405929,-0.013688847,-0.02066446,-0.027640072
31/01/1982,-0.000773206,0.006327689,0.000291929,0.002067152,0.003842376
28/02/1982,-0.043073751,0.019529512,-0.033683261,-0.018032446,-0.00238163
