date,rf_1m
31/01/1976,0.0047
29/02/1976,0.0034
31/03/1976,0.004
30/04/1976,0.0042
31/05/1976,0.0037
30/06/1976,0.0043
31/07/1976,0.0047
31/08/1976,0.0042
30/09/1976,0.0044
31/10/1976,0.0041
30/11/1976,0.004
31/12/1976,0.004
31/01/1977,0.0036
28/02/1977,0.0035
31/03/1977,0.0038
30/04/1977,0.0038
31/05/1977,0.0037
30/06/1977,0.004
31/07/1977,0.0042
31/08/1977,0.0044
30/09/1977,0.0043
31/10/1977,0.0049
30/11/1977,0.005
31/12/1977,0.0049
31/01/1978,0.0049
28/02/1978,0.0046
31/03/1978,0.0053
30/04/1978,0.0054
31/05/1978,0.0051
30/06/1978,0.0054
31/07/1978,0.0056
31/08/1978,0.0056
30/09/1978,0.0062
31/10/1978,0.0068
30/11/1978,0.007
31/12/1978,0.0078
31/01/1979,0.0077
28/02/1979,0.0073
31/03/1979,0.0081
30/04/1979,0.008
31/05/1979,0.0082
30/06/1979,0.0081
31/07/1979,0.0077
31/08/1979,0.0077
30/09/1979,0.0083
31/10/1979,0.0087
30/11/1979,0.0099
31/12/1979,0.0095
31/01/1980,0.008
29/02/1980,0.0089
31/03/1980,0.0121
30/04/1980,0.0126
31/05/1980,0.0081
30/06/1980,0.0061
31/07/1980,0.0053
31/08/1980,0.0064
30/09/1980,0.0075
31/10/1980,0.0095
30/11/1980,0.0096
31/12/1980,0.0131
31/01/1981,0.0104
28/02/1981,0.0107
31/03/1981,0.0121
30/04/1981,0.0108
31/05/1981,0.0115
30/06/1981,0.0135
31/07/1981,0.0124
31/08/1981,0.0128
30/09/1981,0.0124
31/10/1981,0.0121
30/11/1981,0.0107
31/12/1981,0.0087
31/01/1982,0.008
28/02/1982,0.0092
31/03/1982,0.0098
30/04/1982,0.0113
31/05/1982,0.0106
30/06/1982,0.0096
31/07/1982,0.0105
31/08/1982,0.0076
30/09/1982,0.0051
31/10/1982,0.0059
30/11/1982,0.0063
31/12/1982,0.0067
31/01/1983,0.0069
28/02/1983,0.0062
31/03/1983,0.0063
30/04/1983,0.0071
31/05/1983,0.0069
30/06/1983,0.0067
