Ticker,TWP2,TWP3,TWP4,TWP5,BM1,BM2,BM3,BM4
MLL4BP,0,0,0,0,0,0,0,0
MLLBP3,0,0,0,0,0,0,0,0
MLGAL0,0,0,0,0,0,0,0,0
MLG0LI,0,0,0,0,0,0,0,0
MLUR00,0,0,0,0,0,0,0,0
MLHL00,0,0,0,0,0,0,0,0
MLG0QJ,0.139735783,0.082867892,0.026,0,0,0,0,0
MLEZAS,0,0,0,0,0,0,0,0
MLW0G1,0,0,0,0,0,0,0,0
MLW0GI,0,0,0,0,0,0,0,0
MLHWUS,0,0,0,0,0,0,0,0
LHMN2765,0,0,0,0,0,0,0,0
MLG0BC,0,0,0,0,0,0,0,0
LHMN0497,0,0,0,0,0,0,0,0
LHMN0017,0,0,0,0,0,0,0,0
LHMN2002,0,0,0,0,0,0,0,0
LHMN2500,0,0,0,0,0,0,0,0
LHMN0039,0,0,0,0,0,0,0,0
FC0000GB,0,0,0,0,0,0,0,0
FR0000R2,0,0,0,0,0,0,0,0
FR0000A1,0,0,0,0,0,0,0,0
FC0000CN,0,0,0,0,0,0,0,0
FR0000R3,0,0,0,0,0,0,0,0
FR0000R1,0,0,0,0,0.35,0.6,0.85,1
FR0000R5,0,0,0,0,0,0,0,0
FC0000IN,0,0,0,0,0,0,0,0
FC0000JP,0,0,0,0,0,0,0,0
FR0000L1,0,0,0,0,0,0,0,0
FR0000R4,0,0,0,0,0,0,0,0
FI4890GB,0,0,0,0,0,0,0,0
LHMN0038,0,0,0,0,0.65,0.4,0.15,0
LHMN3435,0.048370079,0.028685039,0.009,0,0,0,0,0
LHMN0039,0.146722572,0.087011286,0.0273,0,0,0,0,0
MLG0QJ,0.139735783,0.082867892,0.026,0,0,0,0,0
MLGAL0,0.139735783,0.082867892,0.026,0,0,0,0,0
991700,0.047188235,0.080894118,0.1146,0.134823529,0,0,0,0
899800,0.006011765,0.010305882,0.0146,0.017176471,0,0,0,0
939200,0.021905882,0.037552941,0.0532,0.062588235,0,0,0,0
982600,0.010747059,0.018423529,0.0261,0.030705882,0,0,0,0
891800,0.054558824,0.093529412,0.1325,0.155882353,0,0,0,0
106228,0,0,0,0,0,0,0,0
SP50,0.104794118,0.179647059,0.2545,0.299411765,0,0,0,0
12490H10,0.104794118,0.179647059,0.2545,0.299411765,0,0,0,0
BBGCICMP,0.0357,0.0357,0.0357,0,0,0,0,0
TWPMI35,0,0,0,0,0,0,0,0
TWPMI60,0,0,0,0,0,0,0,0
TWPMI85,0,0,0,0,0,0,0,0
UKHP,0,0,0,0,0,0,0,0
UKCPI,0,0,0,0,0,0,0,0
